ISIN,Code,SYMBOL,SERIES,EXCH,SYMBOL2,,Symbol3
INE0QX901013,RAPIDFLEET,RAPIDFLEET,SM,NSE,RAPIDFLEET,,RAPIDFLEET.NS
INE0MVO01012,RAPPID,RAPPID,SM,NSE,RAPPID,,RAPPID.NS
INE0J1F01024,RPTECH,RPTECH,EQ,NSE,RPTECH,,RPTECH.NS
INE027A01015,RCF,RCF,EQ,NSE,RCF,,RCF.NS
INE0CLI01024,RATEGAIN,RATEGAIN,EQ,NSE,RATEGAIN,,RATEGAIN.NS
INE703B01027,RATNAMANI,RATNAMANI,EQ,NSE,RATNAMANI,,RATNAMANI.NS
INE05CZ01011,RATNAVEER,RATNAVEER,EQ,NSE,RATNAVEER,,RATNAVEER.NS
INE834M01019,RTNINDIA,RTNINDIA,EQ,NSE,RTNINDIA,,RTNINDIA.NS
INE399K01017,RTNPOWER,RTNPOWER,EQ,NSE,RTNPOWER,,RTNPOWER.NS
INE722J01012,RKDL,RKDL,EQ,NSE,RKDL,,RKDL.NS
INE09E501017,RVHL,RVHL,EQ,NSE,RVHL,,RVHL.NS
INE02ID01020,RAYMONDLSL,RAYMONDLSL,EQ,NSE,RAYMONDLSL,,RAYMONDLSL.NS
INE301A01014,RAYMOND,RAYMOND,EQ,NSE,RAYMOND,,RAYMOND.NS
INE1SY401010,RAYMONDREL,RAYMONDREL,EQ,NSE,RAYMONDREL,,RAYMONDREL.NS
INE976G01028,RBLBANK,RBLBANK,EQ,NSE,RBLBANK,,RBLBANK.NS
INE0NA301016,RBMINFRA,RBMINFRA,ST,NSE,RBMINFRA,,RBMINFRA.NS
INE0PEQ01016,RBZJEWEL,RBZJEWEL,EQ,NSE,RBZJEWEL,,RBZJEWEL.NS
INE10QL01011,READYMIX,READYMIX,SM,NSE,READYMIX,,READYMIX.NS
INE020B01018,RECLTD,RECLTD,EQ,NSE,RECLTD,,RECLTD.NS
INE891D01026,REDINGTON,REDINGTON,EQ,NSE,REDINGTON,,REDINGTON.NS
INE0LXT01019,REDTAPE,REDTAPE,EQ,NSE,REDTAPE,,REDTAPE.NS
INE056I01025,REFEX,REFEX,EQ,NSE,REFEX,,REFEX.NS
